dimension,split,label,value,count
template_family,train,True,exactly_one,56
template_family,train,True,negation,360
template_family,train,True,none,128
template_family,train,True,or,624
template_family,train,True,rel,368
template_family,train,True,some,304
template_family,train,Unknown,all,216
template_family,train,Unknown,and,208
template_family,train,Unknown,at_least_two,232
template_family,train,Unknown,attr,112
template_family,train,Unknown,exactly_one,368
template_family,train,Unknown,negation,200
template_family,train,Unknown,none,320
template_family,train,Unknown,or,224
template_family,train,Unknown,rel,264
template_family,train,Unknown,some,256
template_id,dev,False,all_v2,22
template_id,dev,False,all_v3,22
template_id,dev,False,all_v4,22
template_id,dev,False,all_v5,22
template_id,dev,False,and_v2_attr_v2_attr_v3,6
template_id,dev,False,and_v2_attr_v2_rel_v3,8
template_id,dev,False,and_v2_rel_v2_attr_v3,6
template_id,dev,False,and_v2_rel_v2_rel_v3,4
template_id,dev,False,and_v3_attr_v3_attr_v4,6
template_id,dev,False,and_v3_attr_v3_rel_v4,8
template_id,dev,False,and_v3_rel_v3_attr_v4,6
template_id,dev,False,and_v3_rel_v3_rel_v4,4
template_id,dev,False,and_v4_attr_v4_attr_v5,6
template_id,dev,False,and_v4_attr_v4_rel_v5,8
template_id,dev,False,and_v4_rel_v4_attr_v5,6
template_id,dev,False,and_v4_rel_v4_rel_v5,4
template_id,dev,False,and_v5_attr_v5_attr_v6,6
template_id,dev,False,and_v5_attr_v5_rel_v6,8
template_id,dev,False,and_v5_rel_v5_attr_v6,6
template_id,dev,False,and_v5_rel_v5_rel_v6,4
template_id,dev,False,at_least_two_v2,12
template_id,dev,False,at_least_two_v3,12
template_id,dev,False,at_least_two_v4,12
template_id,dev,False,at_least_two_v5,12
template_id,dev,False,attr_v2,26
template_id,dev,False,attr_v3,26
template_id,dev,False,attr_v4,26
template_id,dev,False,attr_v5,26
template_id,dev,False,exactly_one_v2,6
template_id,dev,False,exactly_one_v3,6
template_id,dev,False,exactly_one_v4,6
template_id,dev,False,exactly_one_v5,6
template_id,dev,False,none_v2,22
template_id,dev,False,none_v3,22
template_id,dev,False,none_v4,22
template_id,dev,False,none_v5,22
template_id,dev,False,not_v2_attr_v2,10
template_id,dev,False,not_v2_rel_v2,4
template_id,dev,False,not_v3_attr_v3,10
template_id,dev,False,not_v3_rel_v3,4
template_id,dev,False,not_v4_attr_v4,10
template_id,dev,False,not_v4_rel_v4,4
template_id,dev,False,not_v5_attr_v5,10
template_id,dev,False,not_v5_rel_v5,4
template_id,dev,False,or_v2_attr_v2_attr_v3,2
template_id,dev,False,or_v2_attr_v2_rel_v3,2
template_id,dev,False,or_v3_attr_v3_attr_v4,2
template_id,dev,False,or_v3_attr_v3_rel_v4,2
template_id,dev,False,or_v4_attr_v4_attr_v5,2
template_id,dev,False,or_v4_attr_v4_rel_v5,2
template_id,dev,False,or_v5_attr_v5_attr_v6,2
template_id,dev,False,or_v5_attr_v5_rel_v6,2
template_id,dev,False,rel_v2,18
template_id,dev,False,rel_v3,18
template_id,dev,False,rel_v4,18
template_id,dev,False,rel_v5,18
template_id,dev,False,some_v2,2
template_id,dev,False,some_v3,2
template_id,dev,False,some_v4,2
template_id,dev,False,some_v5,2
template_id,dev,True,all_v2,2
template_id,dev,True,all_v3,2
template_id,dev,True,all_v4,2
template_id,dev,True,all_v5,2
template_id,dev,True,and_v2_attr_v2_rel_v3,2
template_id,dev,True,and_v2_rel_v2_rel_v3,2
template_id,dev,True,and_v3_attr_v3_rel_v4,2
template_id,dev,True,and_v3_rel_v3_rel_v4,2
template_id,dev,True,and_v4_attr_v4_rel_v5,2
template_id,dev,True,and_v4_rel_v4_rel_v5,2
template_id,dev,True,and_v5_attr_v5_rel_v6,2
template_id,dev,True,and_v5_rel_v5_rel_v6,2
template_id,dev,True,at_least_two_v2,8
template_id,dev,True,at_least_two_v3,8
template_id,dev,True,at_least_two_v4,8
template_id,dev,True,at_least_two_v5,8
template_id,dev,True,attr_v2,28
template_id,dev,True,attr_v3,28
template_id,dev,True,attr_v4,28
template_id,dev,True,attr_v5,28
template_id,dev,True,exactly_one_v2,4
template_id,dev,True,exactly_one_v3,4
template_id,dev,True,exactly_one_v4,4
template_id,dev,True,exactly_one_v5,4
template_id,dev,True,none_v2,6
template_id,dev,True,none_v3,6
template_id,dev,True,none_v4,6
template_id,dev,True,none_v5,6
template_id,dev,True,not_v2_attr_v2,22
template_id,dev,True,not_v2_rel_v2,8
template_id,dev,True,not_v3_attr_v3,22
template_id,dev,True,not_v3_rel_v3,8
template_id,dev,True,not_v4_attr_v4,22
template_id,dev,True,not_v4_rel_v4,8
template_id,dev,True,not_v5_attr_v5,22
template_id,dev,True,not_v5_rel_v5,8
template_id,dev,True,or_v2_attr_v2_attr_v3,10
template_id,dev,True,or_v2_attr_v2_rel_v3,12
template_id,dev,True,or_v2_rel_v2_attr_v3,2
template_id,dev,True,or_v2_rel_v2_rel_v3,4
template_id,dev,True,or_v3_attr_v3_attr_v4,10
template_id,dev,True,or_v3_attr_v3_rel_v4,12
template_id,dev,True,or_v3_rel_v3_attr_v4,2
template_id,dev,True,or_v3_rel_v3_rel_v4,4
template_id,dev,True,or_v4_attr_v4_attr_v5,10
template_id,dev,True,or_v4_attr_v4_rel_v5,12
template_id,dev,True,or_v4_rel_v4_attr_v5,2
template_id,dev,True,or_v4_rel_v4_rel_v5,4
template_id,dev,True,or_v5_attr_v5_attr_v6,10
template_id,dev,True,or_v5_attr_v5_rel_v6,12
template_id,dev,True,or_v5_rel_v5_attr_v6,2
template_id,dev,True,or_v5_rel_v5_rel_v6,4
template_id,dev,True,rel_v2,16
template_id,dev,True,rel_v3,16
template_id,dev,True,rel_v4,16
template_id,dev,True,rel_v5,16
template_id,dev,True,some_v2,24
template_id,dev,True,some_v3,24
template_id,dev,True,some_v4,24
template_id,dev,True,some_v5,24
template_id,dev,Unknown,all_v2,26
template_id,dev,Unknown,all_v3,26
template_id,dev,Unknown,all_v4,26
template_id,dev,Unknown,all_v5,26
template_id,dev,Unknown,and_v2_attr_v2_attr_v3,2
template_id,dev,Unknown,and_v2_attr_v2_rel_v3,2
template_id,dev,Unknown,and_v2_rel_v2_attr_v3,6
template_id,dev,Unknown,and_v2_rel_v2_rel_v3,4
template_id,dev,Unknown,and_v3_attr_v3_attr_v4,2
template_id,dev,Unknown,and_v3_attr_v3_rel_v4,2
template_id,dev,Unknown,and_v3_rel_v3_attr_v4,6
template_id,dev,Unknown,and_v3_rel_v3_rel_v4,4
template_id,dev,Unknown,and_v4_attr_v4_attr_v5,2
template_id,dev,Unknown,and_v4_attr_v4_rel_v5,2
template_id,dev,Unknown,and_v4_rel_v4_attr_v5,6
template_id,dev,Unknown,and_v4_rel_v4_rel_v5,4
template_id,dev,Unknown,and_v5_attr_v5_attr_v6,2
template_id,dev,Unknown,and_v5_attr_v5_rel_v6,2
template_id,dev,Unknown,and_v5_rel_v5_attr_v6,6
template_id,dev,Unknown,and_v5_rel_v5_rel_v6,4
template_id,dev,Unknown,at_least_two_v2,30
template_id,dev,Unknown,at_least_two_v3,30
template_id,dev,Unknown,at_least_two_v4,30
template_id,dev,Unknown,at_least_two_v5,30
template_id,dev,Unknown,attr_v2,2
template_id,dev,Unknown,attr_v3,2
template_id,dev,Unknown,attr_v4,2
template_id,dev,Unknown,attr_v5,2
template_id,dev,Unknown,exactly_one_v2,20
template_id,dev,Unknown,exactly_one_v3,20
template_id,dev,Unknown,exactly_one_v4,20
template_id,dev,Unknown,exactly_one_v5,20
template_id,dev,Unknown,none_v2,18
template_id,dev,Unknown,none_v3,18
template_id,dev,Unknown,none_v4,18
template_id,dev,Unknown,none_v5,18
template_id,dev,Unknown,not_v2_attr_v2,4
template_id,dev,Unknown,not_v2_rel_v2,4
template_id,dev,Unknown,not_v3_attr_v3,4
template_id,dev,Unknown,not_v3_rel_v3,4
template_id,dev,Unknown,not_v4_attr_v4,4
template_id,dev,Unknown,not_v4_rel_v4,4
template_id,dev,Unknown,not_v5_attr_v5,4
template_id,dev,Unknown,not_v5_rel_v5,4
template_id,dev,Unknown,or_v2_attr_v2_attr_v3,4
template_id,dev,Unknown,or_v2_attr_v2_rel_v3,2
template_id,dev,Unknown,or_v2_rel_v2_attr_v3,2
template_id,dev,Unknown,or_v3_attr_v3_attr_v4,4
template_id,dev,Unknown,or_v3_attr_v3_rel_v4,2
template_id,dev,Unknown,or_v3_rel_v3_attr_v4,2
template_id,dev,Unknown,or_v4_attr_v4_attr_v5,4
template_id,dev,Unknown,or_v4_attr_v4_rel_v5,2
template_id,dev,Unknown,or_v4_rel_v4_attr_v5,2
template_id,dev,Unknown,or_v5_attr_v5_attr_v6,4
template_id,dev,Unknown,or_v5_attr_v5_rel_v6,2
template_id,dev,Unknown,or_v5_rel_v5_attr_v6,2
template_id,dev,Unknown,rel_v2,18
template_id,dev,Unknown,rel_v3,18
template_id,dev,Unknown,rel_v4,18
template_id,dev,Unknown,rel_v5,18
template_id,dev,Unknown,some_v2,6
template_id,dev,Unknown,some_v3,6
template_id,dev,Unknown,some_v4,6
template_id,dev,Unknown,some_v5,6
template_id,eval,False,all_v4,84
template_id,eval,False,all_v5,84
template_id,eval,False,all_v6,84
template_id,eval,False,all_v7,84
template_id,eval,False,and_v4_attr_v4_attr_v5,36
template_id,eval,False,and_v4_attr_v4_rel_v5,36
template_id,eval,False,and_v4_rel_v4_attr_v5,30
template_id,eval,False,and_v4_rel_v4_rel_v5,30
template_id,eval,False,and_v5_attr_v5_attr_v6,36
template_id,eval,False,and_v5_attr_v5_rel_v6,36
template_id,eval,False,and_v5_rel_v5_attr_v6,30
template_id,eval,False,and_v5_rel_v5_rel_v6,30
template_id,eval,False,and_v6_attr_v6_attr_v7,36
template_id,eval,False,and_v6_attr_v6_rel_v7,36
template_id,eval,False,and_v6_rel_v6_attr_v7,30
template_id,eval,False,and_v6_rel_v6_rel_v7,30
template_id,eval,False,and_v7_attr_v7_attr_v0,36
template_id,eval,False,and_v7_attr_v7_rel_v0,36
template_id,eval,False,and_v7_rel_v7_attr_v0,30
template_id,eval,False,and_v7_rel_v7_rel_v0,30
template_id,eval,False,at_least_two_v4,44
template_id,eval,False,at_least_two_v5,44
template_id,eval,False,at_least_two_v6,44
template_id,eval,False,at_least_two_v7,44
template_id,eval,False,attr_v4,76
template_id,eval,False,attr_v5,76
template_id,eval,False,attr_v6,76
template_id,eval,False,attr_v7,76
template_id,eval,False,exactly_one_v4,26
template_id,eval,False,exactly_one_v5,26
template_id,eval,False,exactly_one_v6,26
template_id,eval,False,exactly_one_v7,26
template_id,eval,False,none_v4,64
template_id,eval,False,none_v5,64
template_id,eval,False,none_v6,64
template_id,eval,False,none_v7,64
template_id,eval,False,not_v4_attr_v4,44
template_id,eval,False,not_v4_rel_v4,32
template_id,eval,False,not_v5_attr_v5,44
template_id,eval,False,not_v5_rel_v5,32
template_id,eval,False,not_v6_attr_v6,44
template_id,eval,False,not_v6_rel_v6,32
template_id,eval,False,not_v7_attr_v7,44
template_id,eval,False,not_v7_rel_v7,32
template_id,eval,False,or_v4_attr_v4_attr_v5,14
template_id,eval,False,or_v4_rel_v4_attr_v5,6
template_id,eval,False,or_v4_rel_v4_rel_v5,2
template_id,eval,False,or_v5_attr_v5_attr_v6,14
template_id,eval,False,or_v5_rel_v5_attr_v6,6
template_id,eval,False,or_v5_rel_v5_rel_v6,2
template_id,eval,False,or_v6_attr_v6_attr_v7,14
template_id,eval,False,or_v6_rel_v6_attr_v7,6
template_id,eval,False,or_v6_rel_v6_rel_v7,2
template_id,eval,False,or_v7_attr_v7_attr_v0,14
template_id,eval,False,or_v7_rel_v7_attr_v0,6
template_id,eval,False,or_v7_rel_v7_rel_v0,2
template_id,eval,False,rel_v4,62
template_id,eval,False,rel_v5,62
template_id,eval,False,rel_v6,62
template_id,eval,False,rel_v7,62
template_id,eval,False,some_v4,14
template_id,eval,False,some_v5,14
template_id,eval,False,some_v6,14
template_id,eval,False,some_v7,14
template_id,eval,True,all_v4,10
template_id,eval,True,all_v5,10
template_id,eval,True,all_v6,10
template_id,eval,True,all_v7,10
template_id,eval,True,and_v4_attr_v4_attr_v5,16
template_id,eval,True,and_v4_attr_v4_rel_v5,8
template_id,eval,True,and_v4_rel_v4_attr_v5,8
template_id,eval,True,and_v4_rel_v4_rel_v5,8
template_id,eval,True,and_v5_attr_v5_attr_v6,16
template_id,eval,True,and_v5_attr_v5_rel_v6,8
template_id,eval,True,and_v5_rel_v5_attr_v6,8
template_id,eval,True,and_v5_rel_v5_rel_v6,8
template_id,eval,True,and_v6_attr_v6_attr_v7,16
template_id,eval,True,and_v6_attr_v6_rel_v7,8
template_id,eval,True,and_v6_rel_v6_attr_v7,8
template_id,eval,True,and_v6_rel_v6_rel_v7,8
template_id,eval,True,and_v7_attr_v7_attr_v0,16
template_id,eval,True,and_v7_attr_v7_rel_v0,8
template_id,eval,True,and_v7_rel_v7_attr_v0,8
template_id,eval,True,and_v7_rel_v7_rel_v0,8
template_id,eval,True,at_least_two_v4,6
template_id,eval,True,at_least_two_v5,6
template_id,eval,True,at_least_two_v6,6
template_id,eval,True,at_least_two_v7,6
template_id,eval,True,attr_v4,112
template_id,eval,True,attr_v5,112
template_id,eval,True,attr_v6,112
template_id,eval,True,attr_v7,112
template_id,eval,True,exactly_one_v4,10
template_id,eval,True,exactly_one_v5,10
template_id,eval,True,exactly_one_v6,10
template_id,eval,True,exactly_one_v7,10
template_id,eval,True,none_v4,18
template_id,eval,True,none_v5,18
template_id,eval,True,none_v6,18
template_id,eval,True,none_v7,18
template_id,eval,True,not_v4_attr_v4,32
template_id,eval,True,not_v4_rel_v4,34
template_id,eval,True,not_v5_attr_v5,32
template_id,eval,True,not_v5_rel_v5,34
template_id,eval,True,not_v6_attr_v6,32
template_id,eval,True,not_v6_rel_v6,34
template_id,eval,True,not_v7_attr_v7,32
template_id,eval,True,not_v7_rel_v7,34
template_id,eval,True,or_v4_attr_v4_attr_v5,50
template_id,eval,True,or_v4_attr_v4_rel_v5,40
template_id,eval,True,or_v4_rel_v4_attr_v5,30
template_id,eval,True,or_v4_rel_v4_rel_v5,36
template_id,eval,True,or_v5_attr_v5_attr_v6,50
template_id,eval,True,or_v5_attr_v5_rel_v6,40
template_id,eval,True,or_v5_rel_v5_attr_v6,30
template_id,eval,True,or_v5_rel_v5_rel_v6,36
template_id,eval,True,or_v6_attr_v6_attr_v7,50
template_id,eval,True,or_v6_attr_v6_rel_v7,40
template_id,eval,True,or_v6_rel_v6_attr_v7,30
template_id,eval,True,or_v6_rel_v6_rel_v7,36
template_id,eval,True,or_v7_attr_v7_attr_v0,50
template_id,eval,True,or_v7_attr_v7_rel_v0,40
template_id,eval,True,or_v7_rel_v7_attr_v0,30
template_id,eval,True,or_v7_rel_v7_rel_v0,36
template_id,eval,True,rel_v4,76
template_id,eval,True,rel_v5,76
template_id,eval,True,rel_v6,76
template_id,eval,True,rel_v7,76
template_id,eval,True,some_v4,106
template_id,eval,True,some_v5,106
template_id,eval,True,some_v6,106
template_id,eval,True,some_v7,106
template_id,eval,Unknown,all_v4,88
template_id,eval,Unknown,all_v5,88
template_id,eval,Unknown,all_v6,88
template_id,eval,Unknown,all_v7,88
template_id,eval,Unknown,and_v4_attr_v4_attr_v5,6
template_id,eval,Unknown,and_v4_attr_v4_rel_v5,16
template_id,eval,Unknown,and_v4_rel_v4_attr_v5,10
template_id,eval,Unknown,and_v4_rel_v4_rel_v5,14
template_id,eval,Unknown,and_v5_attr_v5_attr_v6,6
template_id,eval,Unknown,and_v5_attr_v5_rel_v6,16
template_id,eval,Unknown,and_v5_rel_v5_attr_v6,10
template_id,eval,Unknown,and_v5_rel_v5_rel_v6,14
template_id,eval,Unknown,and_v6_attr_v6_attr_v7,6
template_id,eval,Unknown,and_v6_attr_v6_rel_v7,16
template_id,eval,Unknown,and_v6_rel_v6_attr_v7,10
template_id,eval,Unknown,and_v6_rel_v6_rel_v7,14
template_id,eval,Unknown,and_v7_attr_v7_attr_v0,6
template_id,eval,Unknown,and_v7_attr_v7_rel_v0,16
template_id,eval,Unknown,and_v7_rel_v7_attr_v0,10
template_id,eval,Unknown,and_v7_rel_v7_rel_v0,14
template_id,eval,Unknown,at_least_two_v4,50
template_id,eval,Unknown,at_least_two_v5,50
template_id,eval,Unknown,at_least_two_v6,50
template_id,eval,Unknown,at_least_two_v7,50
template_id,eval,Unknown,attr_v4,16
template_id,eval,Unknown,attr_v5,16
template_id,eval,Unknown,attr_v6,16
template_id,eval,Unknown,attr_v7,16
template_id,eval,Unknown,exactly_one_v4,118
template_id,eval,Unknown,exactly_one_v5,118
template_id,eval,Unknown,exactly_one_v6,118
template_id,eval,Unknown,exactly_one_v7,118
template_id,eval,Unknown,none_v4,66
template_id,eval,Unknown,none_v5,66
template_id,eval,Unknown,none_v6,66
template_id,eval,Unknown,none_v7,66
template_id,eval,Unknown,not_v4_attr_v4,8
template_id,eval,Unknown,not_v4_rel_v4,24
template_id,eval,Unknown,not_v5_attr_v5,8
template_id,eval,Unknown,not_v5_rel_v5,24
template_id,eval,Unknown,not_v6_attr_v6,8
template_id,eval,Unknown,not_v6_rel_v6,24
template_id,eval,Unknown,not_v7_attr_v7,8
template_id,eval,Unknown,not_v7_rel_v7,24
template_id,eval,Unknown,or_v4_attr_v4_attr_v5,10
template_id,eval,Unknown,or_v4_attr_v4_rel_v5,14
template_id,eval,Unknown,or_v4_rel_v4_attr_v5,10
template_id,eval,Unknown,or_v4_rel_v4_rel_v5,12
template_id,eval,Unknown,or_v5_attr_v5_attr_v6,10
template_id,eval,Unknown,or_v5_attr_v5_rel_v6,14
template_id,eval,Unknown,or_v5_rel_v5_attr_v6,10
template_id,eval,Unknown,or_v5_rel_v5_rel_v6,12
template_id,eval,Unknown,or_v6_attr_v6_attr_v7,10
template_id,eval,Unknown,or_v6_attr_v6_rel_v7,14
template_id,eval,Unknown,or_v6_rel_v6_attr_v7,10
template_id,eval,Unknown,or_v6_rel_v6_rel_v7,12
template_id,eval,Unknown,or_v7_attr_v7_attr_v0,10
template_id,eval,Unknown,or_v7_attr_v7_rel_v0,14
template_id,eval,Unknown,or_v7_rel_v7_attr_v0,10
template_id,eval,Unknown,or_v7_rel_v7_rel_v0,12
template_id,eval,Unknown,rel_v4,62
template_id,eval,Unknown,rel_v5,62
template_id,eval,Unknown,rel_v6,62
template_id,eval,Unknown,rel_v7,62
template_id,eval,Unknown,some_v4,76
template_id,eval,Unknown,some_v5,76
template_id,eval,Unknown,some_v6,76
template_id,eval,Unknown,some_v7,76
template_id,train,False,all_v0,68
template_id,train,False,all_v1,68
template_id,train,False,all_v2,68
template_id,train,False,all_v3,68
template_id,train,False,and_v0_attr_v0_attr_v1,30
template_id,train,False,and_v0_attr_v0_rel_v1,14
template_id,train,False,and_v0_rel_v0_attr_v1,20
template_id,train,False,and_v0_rel_v0_rel_v1,26
template_id,train,False,and_v1_attr_v1_attr_v2,30
template_id,train,False,and_v1_attr_v1_rel_v2,14
template_id,train,False,and_v1_rel_v1_attr_v2,20
template_id,train,False,and_v1_rel_v1_rel_v2,26
template_id,train,False,and_v2_attr_v2_attr_v3,30
template_id,train,False,and_v2_attr_v2_rel_v3,14
template_id,train,False,and_v2_rel_v2_attr_v3,20
template_id,train,False,and_v2_rel_v2_rel_v3,26
template_id,train,False,and_v3_attr_v3_attr_v4,30
template_id,train,False,and_v3_attr_v3_rel_v4,14
template_id,train,False,and_v3_rel_v3_attr_v4,20
template_id,train,False,and_v3_rel_v3_rel_v4,26
template_id,train,False,at_least_two_v0,70
template_id,train,False,at_least_two_v1,70
template_id,train,False,at_least_two_v2,70
template_id,train,False,at_least_two_v3,70
template_id,train,False,attr_v0,66
template_id,train,False,attr_v1,66
template_id,train,False,attr_v2,66
template_id,train,False,attr_v3,66
template_id,train,False,exactly_one_v0,32
template_id,train,False,exactly_one_v1,32
template_id,train,False,exactly_one_v2,32
template_id,train,False,exactly_one_v3,32
template_id,train,False,none_v0,98
template_id,train,False,none_v1,98
template_id,train,False,none_v2,98
template_id,train,False,none_v3,98
template_id,train,False,not_v0_attr_v0,44
template_id,train,False,not_v0_rel_v0,30
template_id,train,False,not_v1_attr_v1,44
template_id,train,False,not_v1_rel_v1,30
template_id,train,False,not_v2_attr_v2,44
template_id,train,False,not_v2_rel_v2,30
template_id,train,False,not_v3_attr_v3,44
template_id,train,False,not_v3_rel_v3,30
template_id,train,False,or_v0_attr_v0_attr_v1,6
template_id,train,False,or_v0_attr_v0_rel_v1,2
template_id,train,False,or_v0_rel_v0_attr_v1,2
template_id,train,False,or_v0_rel_v0_rel_v1,6
template_id,train,False,or_v1_attr_v1_attr_v2,6
template_id,train,False,or_v1_attr_v1_rel_v2,2
template_id,train,False,or_v1_rel_v1_attr_v2,2
template_id,train,False,or_v1_rel_v1_rel_v2,6
template_id,train,False,or_v2_attr_v2_attr_v3,6
template_id,train,False,or_v2_attr_v2_rel_v3,2
template_id,train,False,or_v2_rel_v2_attr_v3,2
template_id,train,False,or_v2_rel_v2_rel_v3,6
template_id,train,False,or_v3_attr_v3_attr_v4,6
template_id,train,False,or_v3_attr_v3_rel_v4,2
template_id,train,False,or_v3_rel_v3_attr_v4,2
template_id,train,False,or_v3_rel_v3_rel_v4,6
template_id,train,False,rel_v0,70
template_id,train,False,rel_v1,70
template_id,train,False,rel_v2,70
template_id,train,False,rel_v3,70
template_id,train,False,some_v0,16
template_id,train,False,some_v1,16
template_id,train,False,some_v2,16
template_id,train,False,some_v3,16
template_id,train,True,all_v0,10
template_id,train,True,all_v1,10
template_id,train,True,all_v2,10
template_id,train,True,all_v3,10
template_id,train,True,and_v0_attr_v0_attr_v1,12
template_id,train,True,and_v0_attr_v0_rel_v1,6
template_id,train,True,and_v0_rel_v0_attr_v1,8
template_id,train,True,and_v0_rel_v0_rel_v1,6
template_id,train,True,and_v1_attr_v1_attr_v2,12
template_id,train,True,and_v1_attr_v1_rel_v2,6
template_id,train,True,and_v1_rel_v1_attr_v2,8
template_id,train,True,and_v1_rel_v1_rel_v2,6
template_id,train,True,and_v2_attr_v2_attr_v3,12
template_id,train,True,and_v2_attr_v2_rel_v3,6
template_id,train,True,and_v2_rel_v2_attr_v3,8
template_id,train,True,and_v2_rel_v2_rel_v3,6
template_id,train,True,and_v3_attr_v3_attr_v4,12
template_id,train,True,and_v3_attr_v3_rel_v4,6
template_id,train,True,and_v3_rel_v3_attr_v4,8
template_id,train,True,and_v3_rel_v3_rel_v4,6
template_id,train,True,at_least_two_v0,6
template_id,train,True,at_least_two_v1,6
template_id,train,True,at_least_two_v2,6
template_id,train,True,at_least_two_v3,6
template_id,train,True,attr_v0,92
template_id,train,True,attr_v1,92
template_id,train,True,attr_v2,92
template_id,train,True,attr_v3,92
template_id,train,True,exactly_one_v0,14
template_id,train,True,exactly_one_v1,14
template_id,train,True,exactly_one_v2,14
template_id,train,True,exactly_one_v3,14
template_id,train,True,none_v0,32
template_id,train,True,none_v1,32
template_id,train,True,none_v2,32
template_id,train,True,none_v3,32
template_id,train,True,not_v0_attr_v0,58
template_id,train,True,not_v0_rel_v0,32
template_id,train,True,not_v1_attr_v1,58
template_id,train,True,not_v1_rel_v1,32
template_id,train,True,not_v2_attr_v2,58
template_id,train,True,not_v2_rel_v2,32
template_id,train,True,not_v3_attr_v3,58
template_id,train,True,not_v3_rel_v3,32
template_id,train,True,or_v0_attr_v0_attr_v1,42
template_id,train,True,or_v0_attr_v0_rel_v1,54
template_id,train,True,or_v0_rel_v0_attr_v1,36
template_id,train,True,or_v0_rel_v0_rel_v1,24
template_id,train,True,or_v1_attr_v1_attr_v2,42
template_id,train,True,or_v1_attr_v1_rel_v2,54
template_id,train,True,or_v1_rel_v1_attr_v2,36
template_id,train,True,or_v1_rel_v1_rel_v2,24
template_id,train,True,or_v2_attr_v2_attr_v3,42
template_id,train,True,or_v2_attr_v2_rel_v3,54
template_id,train,True,or_v2_rel_v2_attr_v3,36
template_id,train,True,or_v2_rel_v2_rel_v3,24
template_id,train,True,or_v3_attr_v3_attr_v4,42
template_id,train,True,or_v3_attr_v3_rel_v4,54
template_id,train,True,or_v3_rel_v3_attr_v4,36
template_id,train,True,or_v3_rel_v3_rel_v4,24
template_id,train,True,rel_v0,92
template_id,train,True,rel_v1,92
template_id,train,True,rel_v2,92
template_id,train,True,rel_v3,92
template_id,train,True,some_v0,76
template_id,train,True,some_v1,76
template_id,train,True,some_v2,76
template_id,train,True,some_v3,76
template_id,train,Unknown,all_v0,54
template_id,train,Unknown,all_v1,54
template_id,train,Unknown,all_v2,54
template_id,train,Unknown,all_v3,54
template_id,train,Unknown,and_v0_attr_v0_attr_v1,12
template_id,train,Unknown,and_v0_attr_v0_rel_v1,12
template_id,train,Unknown,and_v0_rel_v0_attr_v1,18
template_id,train,Unknown,and_v0_rel_v0_rel_v1,10
template_id,train,Unknown,and_v1_attr_v1_attr_v2,12
template_id,train,Unknown,and_v1_attr_v1_rel_v2,12
template_id,train,Unknown,and_v1_rel_v1_attr_v2,18
template_id,train,Unknown,and_v1_rel_v1_rel_v2,10
template_id,train,Unknown,and_v2_attr_v2_attr_v3,12
